SH_ID,C_ID,SH_CONTENT,SH_DOMAIN,SER_TYPE,SH_WEIGHT,SH_CHARGES,SR_ADDR,DS_ADDR,Current_Status,Sent_date,Delivery_date,ShipmentEfficiency
690,230,Healthcare,Domestic,Regular,553,1210,"1800 Block of 26TH ST","1200 Block of JACKSON ST",DELIVERED,4/28/2014,12/18/2014,0.457
933,3189,Healthcare,International,Express,810,1114,"2600 Block of ALEMANY BL","700 Block of HAMPSHIRE ST",DELIVERED,6/14/1997,7/10/1997,0.7271
261,2216,Luggage,Domestic,Express,994,1020,"BARTLETT ST / 23RD ST","500 Block of HAIGHT ST","NOT DELIVERED",8/14/1993,,0.9745
445,1904,"Home Furnishing",Domestic,Express,598,1351,"1300 Block of 7TH AV","300 Block of 9TH ST","NOT DELIVERED",12/13/2019,,0.4426
722,7342,Electronics,International,Express,412,566,"0 Block of EUREKA ST","1800 Block of VANNESS AV","NOT DELIVERED",9/21/1996,,0.7279
129,7633,"Food and Beverages",Domestic,Regular,379,590,"700 Block of VANNESS AV","500 Block of LEAVENWORTH ST",DELIVERED,4/23/1971,11/1/1971,0.6424
489,2154,Fashion,Domestic,Regular,892,1407,"200 Block of BERRY ST","CARROLL AV / JENNINGS ST","NOT DELIVERED",12/21/2005,,0.634
165,5543,"Industrial Equipments",Domestic,Regular,347,786,"1100 Block of FRANCISCO ST","1000 Block of MARKET ST","NOT DELIVERED",7/3/1979,,0.4415
164,2332,"Hazardous Goods",International,Express,457,855,"100 Block of NEWMONTGOMERY ST","600 Block of SOUTH VAN NESS AV","NOT DELIVERED",4/29/1976,,0.5345
364,4094,Automotive,International,Express,957,1182,"200 Block of SCOTT ST","2600 Block of MISSION ST","NOT DELIVERED",3/3/2012,,0.8096
469,3042,Electronics,International,Regular,23,25,"BELVEDERE ST / WALLER ST","0 Block of CEDAR ST",DELIVERED,2/18/1991,5/15/1991,0.92
158,2220,Healthcare,Domestic,Express,479,861,"800 Block of BRYANT ST","500 Block of FREDERICK ST",DELIVERED,3/31/1976,6/30/1976,0.5563
337,4988,Electronics,Domestic,Express,305,834,"1300 Block of CALIFORNIA ST","0 Block of RAUSCH ST","NOT DELIVERED",5/11/1976,,0.3657
634,175,Healthcare,International,Express,939,1446,"300 Block of CHENERY ST","BUSH ST / BUCHANAN ST","NOT DELIVERED",10/7/1980,,0.6494
577,4233,Fashion,Domestic,Regular,679,1455,"2600 Block of 18TH ST","800 Block of BRYANT ST",DELIVERED,3/19/1987,8/9/1987,0.4667
907,4351,Electronics,International,Express,803,1020,"800 Block of 30TH AV","1100 Block of MARKET ST","NOT DELIVERED",7/23/2013,,0.7873
870,5578,Construction,Domestic,Regular,783,1042,"800 Block of GENEVA AV","300 Block of 4TH ST","NOT DELIVERED",3/2/2010,,0.7514
982,4523,"Industrial Equipments",Domestic,Regular,432,915,"800 Block of BRYANT ST","100 Block of TOWNSEND ST","NOT DELIVERED",10/17/2017,,0.4721
351,2972,"Industrial Equipments",Domestic,Regular,776,1053,"15TH ST / SANCHEZ ST","1700 Block of FULTON ST",DELIVERED,1/3/1977,7/6/1977,0.7369
328,6153,Healthcare,Domestic,Express,710,1066,"900 Block of ELLSWORTH ST","400 Block of 28TH ST",DELIVERED,1/20/1997,9/8/1997,0.666
242,4852,Construction,Domestic,Regular,959,1253,"600 Block of FRANCISCO ST","FELL ST / MASONIC AV","NOT DELIVERED",12/9/1996,,0.7654
421,8106,Automotive,International,Regular,147,535,"800 Block of BRYANT ST","900 Block of RANDOLPH ST",DELIVERED,2/7/1999,3/5/1999,0.2748
6,3917,"Arts and crafts",International,Express,613,1256,"800 Block of BRYANT ST","0 Block of 6TH ST",DELIVERED,3/8/1977,11/8/1977,0.4881
384,9377,Luggage,Domestic,Regular,590,1033,"ELLIS ST / LAGUNA ST","0 Block of HYDE ST","NOT DELIVERED",2/21/1972,,0.5712
